index,course_title,url,certification,level,organization,platform
0,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,COURSE,All Levels,Business Finance,udemy
1,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,COURSE,All Levels,Business Finance,udemy
2,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,COURSE,Intermediate Level,Business Finance,udemy
3,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,COURSE,All Levels,Business Finance,udemy
4,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,COURSE,Intermediate Level,Business Finance,udemy
5,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,COURSE,All Levels,Business Finance,udemy
6,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,COURSE,Beginner Level,Business Finance,udemy
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,COURSE,All Levels,Business Finance,udemy
8,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,COURSE,Expert Level,Business Finance,udemy
9,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,COURSE,All Levels,Business Finance,udemy
10,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,COURSE,All Levels,Business Finance,udemy
11,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,COURSE,All Levels,Business Finance,udemy
12,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,COURSE,All Levels,Business Finance,udemy
13,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,COURSE,All Levels,Business Finance,udemy
14,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,COURSE,All Levels,Business Finance,udemy
15,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,COURSE,Intermediate Level,Business Finance,udemy
16,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,COURSE,Beginner Level,Business Finance,udemy
17,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,COURSE,All Levels,Business Finance,udemy
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,COURSE,All Levels,Business Finance,udemy
19,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,COURSE,Beginner Level,Business Finance,udemy
20,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,COURSE,All Levels,Business Finance,udemy
21,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,COURSE,All Levels,Business Finance,udemy
22,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,COURSE,All Levels,Business Finance,udemy
23,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,COURSE,Beginner Level,Business Finance,udemy
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,COURSE,All Levels,Business Finance,udemy
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,COURSE,All Levels,Business Finance,udemy
26,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,COURSE,All Levels,Business Finance,udemy
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,COURSE,Intermediate Level,Business Finance,udemy
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,COURSE,All Levels,Business Finance,udemy
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,COURSE,Beginner Level,Business Finance,udemy
30,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,COURSE,Beginner Level,Business Finance,udemy
31,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,COURSE,All Levels,Business Finance,udemy
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,COURSE,All Levels,Business Finance,udemy
33,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,COURSE,All Levels,Business Finance,udemy
34,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,COURSE,All Levels,Business Finance,udemy
35,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,COURSE,Intermediate Level,Business Finance,udemy
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,COURSE,Beginner Level,Business Finance,udemy
37,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,COURSE,All Levels,Business Finance,udemy
38,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,COURSE,All Levels,Business Finance,udemy
39,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,COURSE,All Levels,Business Finance,udemy
40,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,COURSE,All Levels,Business Finance,udemy
41,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,COURSE,All Levels,Business Finance,udemy
42,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,COURSE,Beginner Level,Business Finance,udemy
43,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,COURSE,Intermediate Level,Business Finance,udemy
44,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,COURSE,All Levels,Business Finance,udemy
45,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,COURSE,All Levels,Business Finance,udemy
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,COURSE,All Levels,Business Finance,udemy
47,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,COURSE,All Levels,Business Finance,udemy
48,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,COURSE,All Levels,Business Finance,udemy
49,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,COURSE,All Levels,Business Finance,udemy
50,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,COURSE,Expert Level,Business Finance,udemy
51,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,COURSE,All Levels,Business Finance,udemy
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,COURSE,Intermediate Level,Business Finance,udemy
