,Name of course,URL,Nanodegree,Cost
31,UX Design for Mobile Developers,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849,Android Developer,Free Course
36,Educational Technology,https://www.udacity.com/course/educational-technology--ud915,Artificial Intelligence,Free Course
30,Health Informatics in the Cloud,https://www.udacity.com/course/health-informatics-in-the-cloud--ud809,Artificial Intelligence,Free Course
10,Front-End Interview Prep,https://www.udacity.com/course/front-end-interview-prep--ud250,Career Services,Free Course
26,Strengthen Your LinkedIn Network & Brand,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242,Career Services,Free Course
15,Software Analysis & Testing,https://www.udacity.com/course/software-analysis-testing--ud333,Data Analyst,Free Course
37,Intro to Deep Learning with PyTorch,https://www.udacity.com/course/deep-learning-pytorch--ud188,Deep Learning,Free Course
32,Reinforcement Learning,https://www.udacity.com/course/reinforcement-learning--ud600,Deep Reinforcement Learning,Free Course
16,Database Systems Concepts & Design,https://www.udacity.com/course/database-systems-concepts-design--ud150,Flying Car and Autonomous Flight Engineer,Free Course
21,High Performance Computing,https://www.udacity.com/course/high-performance-computing--ud281,Flying Car and Autonomous Flight Engineer,Free Course
5,Compilers: Theory and Practice,https://www.udacity.com/course/compilers-theory-and-practice--ud168,Flying Car and Autonomous Flight Engineer,Free Course
12,WeChat Mini Program Development,https://www.udacity.com/course/wechat-mini-programs--ud667,Front End Web Developer,Free Course
18,Software Development Process,https://www.udacity.com/course/software-development-process--ud805,Full Stack Web Developer,Free Course
33,Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,Intro to Self-Driving Cars,Free Course
22,Differential Equations in Action,https://www.udacity.com/course/differential-equations-in-action--cs222,Introduction to Programming,Free Course
27,Google Maps APIs,https://www.udacity.com/course/google-maps-apis--ud864,Introduction to Programming,Free Course
25,Authentication & Authorization: OAuth,https://www.udacity.com/course/authentication-authorization-oauth--ud330,Introduction to Programming,Free Course
34,Responsive Web Design Fundamentals,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893,Introduction to Programming,Free Course
24,App Monetization,https://www.udacity.com/course/app-monetization--ud518,Introduction to Programming,Free Course
23,Intro to Backend,https://www.udacity.com/course/intro-to-backend--ud171,Introduction to Programming,Free Course
29,Firebase in a Weekend: iOS,https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351,Introduction to Programming,Free Course
0,Problem Solving with Advanced Analytics,https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976,Introduction to Programming,Free Course
19,HTTP & Web Servers,https://www.udacity.com/course/http-web-servers--ud303,Introduction to Programming,Free Course
38,Grand Central Dispatch (GCD),https://www.udacity.com/course/grand-central-dispatch-gcd--ud576,Introduction to Programming,Free Course
2,How to Make a Platformer Using libGDX,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406,Introduction to Programming,Free Course
3,Intro to AJAX,https://www.udacity.com/course/intro-to-ajax--ud110,Introduction to Programming,Free Course
4,Real-Time Analytics with Apache Storm,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,Introduction to Programming,Free Course
6,Learn Swift Programming Syntax,https://www.udacity.com/course/learn-swift-programming-syntax--ud902,Introduction to Programming,Free Course
20,Learn ARKit using Swift,https://www.udacity.com/course/learn-arkit-using-swift--ud116,Introduction to Programming,Free Course
7,Deploying Applications with Heroku,https://www.udacity.com/course/deploying-applications-with-heroku--ud272,Introduction to Programming,Free Course
11,Intro to Data Structures and Algorithms,https://www.udacity.com/course/data-structures-and-algorithms-in-python--ud513,Introduction to Programming,Free Course
13,Intro to Hadoop and MapReduce,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617,Introduction to Programming,Free Course
14,Xcode Debugging,https://www.udacity.com/course/xcode-debugging--ud774,Introduction to Programming,Free Course
9,Swift for Beginners,https://www.udacity.com/course/swift-for-beginners--ud1022,Introduction to Programming,Free Course
39,Browser Rendering Optimization,https://www.udacity.com/course/browser-rendering-optimization--ud860,Introduction to Programming,Free Course
8,"Computability, Complexity & Algorithms",https://www.udacity.com/course/computability-complexity-algorithms--ud061,Machine Learning Engineer,Free Course
28,Intro to TensorFlow for Deep Learning,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187,Machine Learning Engineer,Free Course
17,None,https://www.udacity.com/course/intro-to-javascript--ud803,None,None
1,None,https://www.udacity.com/course/intro-to-machine-learning--ud120,None,None
35,Version Control with Git,https://www.udacity.com/course/version-control-with-git--ud123,React,Free Course
