,course_title,course_organization,course_Certificate_type,courses_url,course_difficulty
135,A/B Testing, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
14,AI Product Manager, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
34,AI Programming with Python, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate 
7,AI for Business Leaders, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
1,AI for Healthcare, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
2,AWS Cloud Architect, School of Cloud Computing ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
53,AWS DeepRacer, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
0,Activation and Retention Strategy, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
118,Advanced Operating Systems, Career Advancement ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
43,Android Basics, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
42,Android Developer, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
126,Android Interview Prep, Career Advancement ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
66,Applied Cryptography, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
48,Artificial Intelligence, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
65,Artificial Intelligence for Robotics, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
44,Artificial Intelligence for Trading, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
98,Asynchronous JavaScript Requests, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
148,Authentication & Authorization: OAuth, School of Data Science ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
92,AutoLayout, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
39,Blockchain Developer, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
35,Business Analytics, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate 
20,C++, School of Autonomous Systems ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
124,C++ For Programmers, Career Advancement ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
18,Cloud DevOps Engineer, School of Cloud Computing ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
17,Cloud Developer, School of Cloud Computing ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
109,Compilers: Theory and Practice, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
79,"Computability, Complexity & Algorithms", Career Advancement ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
45,Computer Vision, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
145,Configuring Linux Web Servers, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
96,Core ML: Machine Learning for iOS, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
129,Craft Your Cover Letter, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
140,Cyber-Physical Systems Security, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
26,Data Analyst, School of Data Science ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
23,Data Engineer, School of Data Science ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
33,Data Scientist, School of Data Science ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
10,Data Streaming, School of Data Science ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
86,Data Structures & Algorithms in Swift, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
21,Data Structures and Algorithms, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
16,Data Visualization, School of Data Science ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
84,Data Visualization in Tableau, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
76,Data Wrangling with MongoDB, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
107,Database Systems Concepts & Design, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
36,Deep Learning, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate 
47,Deep Reinforcement Learning, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
139,Deploying Applications with Heroku, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
83,Deploying a Hadoop Cluster, Career Advancement ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
56,Design of Computer Programs, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
157,Designing RESTful APIs, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
58,Differential Equations in Action, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
31,Digital Marketing, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
137,Dynamic Web Applications with Sinatra, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
152,ES6 - JavaScript Improved, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
97,Eigenvectors and Eigenvalues, School of Artificial Intelligence ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
110,Embedded Systems, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
151,Firebase Analytics: Android, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
150,Firebase Analytics: iOS, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
78,Firebase in a Weekend: Android, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
77,Firebase in a Weekend: iOS, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
41,Flying Car and Autonomous Flight Engineer, School of Autonomous Systems ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
11,Front End Web Developer, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,intermediate
131,Front-End Interview Prep, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
80,Full Stack Foundations, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
12,Full Stack Web Developer, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
133,Full-Stack Interview Prep, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
81,GT - Refresher - Advanced OS, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
5,Growth Product Manager, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
4,Growth and Acquisition Strategy, School of Business ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,advanced
144,HTML5 Canvas, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
146,HTTP & Web Servers, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
75,High Performance Computer Architecture, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
141,High Performance Computing, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
68,How to Build a Startup, School of Programming ,Free,https://www.udacity.com/course/course/what-is-programming--ud994,beginner
